Scenario,Year,Control,Stored_Value,Independent_Value,Difference,Authority,Formula,Status
BASE,2028,SEGMENT_RECONCILIATION,562561.08082174,562561.08082174,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,SEGMENT_RECONCILIATION,PASS
BASE,2028,BS_IDENTITY,720637.92671386,720637.92671386,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,BS_IDENTITY,PASS
BASE,2028,CASH_ROLLFORWARD,103356.97844119,103356.97844119,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_ROLLFORWARD,PASS
BASE,2028,CASH_TO_BS_LINK,123986.58012872,123986.58012872,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_TO_BS_LINK,PASS
BASE,2028,EQUITY_ROLLFORWARD,209059.57543858,209059.57543858,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EQUITY_ROLLFORWARD,PASS
BASE,2028,NCI_ROLLFORWARD,14988.12387041,14988.12387041,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NCI_ROLLFORWARD,PASS
BASE,2028,NET_PROFIT_LINK,48692.74149982,48692.74149982,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NET_PROFIT_LINK,PASS
BASE,2028,EPS_RECOMPUTE,6.49294124,6.49294124,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EPS_RECOMPUTE,PASS
BASE,2028,PPE_ROLLFORWARD,48846.30130108,48846.30130108,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,PPE_ROLLFORWARD,PASS
BASE,2028,DEBT_ROLLFORWARD,77310.94872147,77310.94872147,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,DEBT_ROLLFORWARD,PASS
BASE,2029,SEGMENT_RECONCILIATION,610334.22550481,610334.22550481,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,SEGMENT_RECONCILIATION,PASS
BASE,2029,BS_IDENTITY,773853.04507671,773853.04507671,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,BS_IDENTITY,PASS
BASE,2029,CASH_ROLLFORWARD,117991.79761582,117991.79761582,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_ROLLFORWARD,PASS
BASE,2029,CASH_TO_BS_LINK,140373.28186290,140373.28186290,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_TO_BS_LINK,PASS
BASE,2029,EQUITY_ROLLFORWARD,224879.22861074,224879.22861074,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EQUITY_ROLLFORWARD,PASS
BASE,2029,NCI_ROLLFORWARD,15663.24430078,15663.24430078,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NCI_ROLLFORWARD,PASS
BASE,2029,NET_PROFIT_LINK,52291.71583066,52291.71583066,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NET_PROFIT_LINK,PASS
BASE,2029,EPS_RECOMPUTE,6.97284703,6.97284703,-0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EPS_RECOMPUTE,PASS
BASE,2029,PPE_ROLLFORWARD,51744.73741760,51744.73741760,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,PPE_ROLLFORWARD,PASS
BASE,2029,DEBT_ROLLFORWARD,83454.62218027,83454.62218027,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,DEBT_ROLLFORWARD,PASS
BASE,2030,SEGMENT_RECONCILIATION,664184.62663046,664184.62663046,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,SEGMENT_RECONCILIATION,PASS
BASE,2030,BS_IDENTITY,833156.55143927,833156.55143927,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,BS_IDENTITY,PASS
BASE,2030,CASH_ROLLFORWARD,133859.97754838,133859.97754838,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_ROLLFORWARD,PASS
BASE,2030,CASH_TO_BS_LINK,158216.20260816,158216.20260816,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_TO_BS_LINK,PASS
BASE,2030,EQUITY_ROLLFORWARD,241991.85884957,241991.85884957,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EQUITY_ROLLFORWARD,PASS
