H1_Fact_ID,Year,Economic_Period,Metric_ID,Canonical_Metric_ID,Source_Fact_ID,Value,Unit,Analytical_Value,Analytical_Unit,Conversion_Factor,Accounting_Basis,Scope,Fact_Type,Original_or_Restated,Transformation,Source_ID,Source_Report_Period
2024::ORIGINAL_REPORTED_2024_CAS::IS_OTHER_INCOME,2024,2024A,IS_OTHER_INCOME,IS_OTHER_INCOME,ORIGINAL_REPORTED_2024_CAS::IS_OTHER_INCOME,3234844,RMB_THOUSAND,3234.844,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::IS_PARENT_COMPREHENSIVE,2024,2024A,IS_PARENT_COMPREHENSIVE,IS_PARENT_COMPREHENSIVE,ORIGINAL_REPORTED_2024_CAS::IS_PARENT_COMPREHENSIVE,38183500,RMB_THOUSAND,38183.5,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::IS_PARENT_OCI,2024,2024A,IS_PARENT_OCI,IS_PARENT_OCI,ORIGINAL_REPORTED_2024_CAS::IS_PARENT_OCI,-353737,RMB_THOUSAND,-353.737,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::IS_PBT,2024,2024A,IS_PBT,IS_PBT,ORIGINAL_REPORTED_2024_CAS::IS_PBT,46689746,RMB_THOUSAND,46689.746,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::IS_RD_EXPENSE,2024,2024A,IS_RD_EXPENSE,IS_RD_EXPENSE,ORIGINAL_REPORTED_2024_CAS::IS_RD_EXPENSE,-16232771,RMB_THOUSAND,-16232.771,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::IS_SELLING_EXPENSE,2024,2024A,IS_SELLING_EXPENSE,IS_SELLING_EXPENSE,ORIGINAL_REPORTED_2024_CAS::IS_SELLING_EXPENSE,-38753649,RMB_THOUSAND,-38753.649,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::IS_TAXES_SURCHARGES,2024,2024A,IS_TAXES_SURCHARGES,IS_TAXES_SURCHARGES,ORIGINAL_REPORTED_2024_CAS::IS_TAXES_SURCHARGES,-2119625,RMB_THOUSAND,-2119.625,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::IS_TOTAL_REVENUE,2024,2024A,IS_TOTAL_REVENUE,IS_TOTAL_REVENUE,ORIGINAL_REPORTED_2024_CAS::IS_TOTAL_REVENUE,409084266,RMB_THOUSAND,409084.266,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::LEASE_INTEREST,2024,2024A,LEASE_INTEREST,LEASE_INTEREST,ORIGINAL_REPORTED_2024_CAS::LEASE_INTEREST,151181,RMB_THOUSAND,151.181,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::NOTE_ACQUISITIONS,2024,2024A,NOTE_ACQUISITIONS,NOTE_ACQUISITIONS,ORIGINAL_REPORTED_2024_CAS::NOTE_ACQUISITIONS,0,RMB_THOUSAND,0,RMB_MILLION,0.001,CAS,CONSOLIDATED,DERIVED,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
